"Date","Price","Open","High","Low","Vol.","Change %"
"23-11-2023","19,819.40","19,839.70","19,883.45","19,802.25","333.41M","0.00%"
"22-11-2023","19,818.90","19,810.30","19,849.05","19,716.95","374.38M","0.06%"
"21-11-2023","19,806.40","19,807.50","19,851.80","19,788.05","375.93M","0.38%"
"20-11-2023","19,730.70","19,779.55","19,795.10","19,715.15","359.34M","-0.22%"
"17-11-2023","19,773.45","19,704.60","19,835.75","19,696.10","511.31M","-0.06%"
"16-11-2023","19,785.85","19,701.65","19,884.30","19,652.60","500.73M","0.44%"
"15-11-2023","19,698.40","19,675.50","19,714.90","19,611.05","570.43M","1.14%"
"13-11-2023","19,475.70","19,508.60","19,515.20","19,436.60","404.05M","-0.35%"
"12-11-2023","19,544.45","19,571.20","19,571.20","19,528.55","78.03M","0.51%"
"10-11-2023","19,444.80","19,371.55","19,468.75","19,344.90","350.51M","0.16%"
"09-11-2023","19,413.80","19,489.15","19,494.45","19,398.60","420.62M","-0.29%"
"08-11-2023","19,470.10","19,466.90","19,485.25","19,426.45","475.89M","0.27%"
"07-11-2023","19,416.80","19,398.25","19,433.90","19,331.55","583.34M","0.09%"
"06-11-2023","19,399.10","19,333.20","19,410.70","19,300.35","570.29M","0.92%"
"03-11-2023","19,222.10","19,215.90","19,256.45","19,200.30","606.97M","0.60%"
"02-11-2023","19,107.25","19,074.55","19,128.15","19,028.15","503.44M","0.87%"
"01-11-2023","18,942.30","19,028.85","19,061.95","18,926.05","449.85M","-0.49%"
"31-10-2023","19,035.35","19,174.60","19,175.20","19,012.35","451.05M","-0.24%"
"30-10-2023","19,080.85","19,007.60","19,096.50","18,882.40","376.76M","0.45%"
"27-10-2023","18,996.10","18,859.00","19,024.75","18,856.90","471.50M","1.15%"
"26-10-2023","18,780.60","18,941.40","18,954.55","18,743.30","665.81M","-1.33%"
"25-10-2023","19,034.40","19,196.75","19,264.90","18,977.15","454.67M","-0.81%"
"23-10-2023","19,189.10","19,451.40","19,482.70","19,162.20","443.59M","-1.43%"
"20-10-2023","19,468.40","19,488.25","19,533.35","19,450.30","436.68M","-0.48%"
"19-10-2023","19,562.30","19,490.95","19,613.75","19,449.35","411.17M","-0.25%"
"18-10-2023","19,611.35","19,769.35","19,780.00","19,600.35","496.42M","-0.75%"
"17-10-2023","19,758.90","19,787.10","19,792.75","19,726.30","383.91M","0.40%"
"16-10-2023","19,680.65","19,678.10","19,726.40","19,636.40","377.96M","-0.06%"
"13-10-2023","19,691.70","19,598.35","19,744.30","19,579.95","485.90M","-0.18%"
"12-10-2023","19,728.10","19,755.95","19,775.80","19,709.20","492.04M","-0.04%"
"11-10-2023","19,736.80","19,695.50","19,767.15","19,686.60","526.46M","0.61%"
"10-10-2023","19,616.55","19,485.95","19,640.70","19,484.75","453.81M","0.97%"
"09-10-2023","19,428.90","19,462.50","19,504.65","19,391.75","399.28M","-0.79%"
"06-10-2023","19,584.45","19,554.40","19,606.05","19,524.70","390.80M","0.56%"
"05-10-2023","19,476.05","19,462.45","19,504.35","19,420.80","634.69M","0.52%"
"04-10-2023","19,376.25","19,416.05","19,423.90","19,277.30","612.22M","-0.60%"
"03-10-2023","19,492.70","19,569.90","19,571.50","19,434.45","545.86M","-0.43%"
"29-09-2023","19,577.05","19,511.45","19,656.45","19,482.00","440.56M","0.64%"
"28-09-2023","19,451.65","19,698.45","19,703.35","19,421.25","602.26M","-1.03%"
"27-09-2023","19,654.95","19,583.40","19,668.00","19,498.45","396.76M","0.25%"
"26-09-2023","19,606.05","19,615.85","19,640.95","19,579.65","367.63M","0.00%"
"25-09-2023","19,606.85","19,622.05","19,663.00","19,539.70","363.90M","-0.04%"
"22-09-2023","19,614.20","19,679.50","19,732.80","19,597.20","474.20M","-0.31%"
"21-09-2023","19,674.80","19,779.20","19,784.80","19,641.20","465.83M","-0.80%"
"20-09-2023","19,832.60","19,919.00","19,984.15","19,809.55","658.16M","-1.11%"
"18-09-2023","20,056.15","20,092.95","20,115.50","20,039.75","560.90M","-0.26%"
"15-09-2023","20,108.40","20,079.75","20,136.30","20,048.75","810.61M","0.42%"
"14-09-2023","20,024.80","20,040.55","20,083.70","19,961.40","485.43M","0.24%"
"13-09-2023","19,977.80","19,900.85","20,000.50","19,844.75","496.30M","0.36%"
"12-09-2023","19,905.20","20,082.10","20,082.40","19,835.05","662.98M","-0.33%"
"11-09-2023","19,970.80","19,864.90","19,981.00","19,841.75","547.13M","0.92%"
"08-09-2023","19,789.30","19,741.30","19,834.90","19,690.50","585.95M","0.50%"
